clip_name,class
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_02_clip53.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_02_clip54.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_02_clip55.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_02_clip57.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_02_clip59.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_02_clip60.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_02_clip62.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_02_clip64.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_02_clip65.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_02_clip66.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_02_clip67.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_02_clip68.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_02_clip69.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_02_clip70.wav",Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_00_clip25.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_00_clip31.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_00_clip33.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_00_clip34.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_01_clip17.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_01_clip18.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_01_clip19.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_01_clip20.wav,Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_02_clip5.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_02_clip7.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_02_clip9.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_02_clip11.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_02_clip13.wav,Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_02_clip15.wav,Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_02_clip16.wav,Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_02_clip35.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_02_clip36.wav,Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_03_clip1.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_03_clip2.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_03_clip3.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_03_clip4.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_03_clip6.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_03_clip8.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_03_clip10.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_03_clip12.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_03_clip14.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_04_clip21.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_04_clip22.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_04_clip24.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_04_clip27.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_04_clip28.wav,Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_05_clip23.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_05_clip26.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_05_clip29.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_05_clip30.wav,Non Violent
Bodycam Captures Officer Firing Gun at Fleeing Suspect Then Denying It [YHzo5H4ubyg]_SPEAKER_05_clip32.wav,Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip1.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip3.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip6.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip7.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip9.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip15.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip16.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip17.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip18.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip19.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip22.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip23.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip25.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip26.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip27.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip28.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip30.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip32.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip34.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip36.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip37.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip38.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip39.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip44.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_00_clip45.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_01_clip2.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_01_clip4.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_01_clip5.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_01_clip8.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_01_clip10.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_01_clip11.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_01_clip12.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_01_clip13.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_01_clip14.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_01_clip20.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_01_clip21.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_01_clip24.wav,Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_01_clip29.wav,Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_01_clip31.wav,Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_01_clip33.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_01_clip35.wav,Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_01_clip40.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_01_clip41.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_01_clip42.wav,Non Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_01_clip43.wav,Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_01_clip46.wav,Violent
Bodycam Captures Police Shootout After Passenger Opens Fire on San Antonio Officer [c3sJjQB8Y_8]_SPEAKER_01_clip47.wav,Violent
Bodycam Captures Suspect Shooting At LVMPD Officers Before They Return Fire [OOrPCXr0urU]_SPEAKER_00_clip2.wav,Non Violent
Bodycam Captures Suspect Shooting At LVMPD Officers Before They Return Fire [OOrPCXr0urU]_SPEAKER_00_clip4.wav,Non Violent
Bodycam Captures Suspect Shooting At LVMPD Officers Before They Return Fire [OOrPCXr0urU]_SPEAKER_00_clip6.wav,Non Violent
Bodycam Captures Suspect Shooting At LVMPD Officers Before They Return Fire [OOrPCXr0urU]_SPEAKER_00_clip7.wav,Non Violent
Bodycam Captures Suspect Shooting At LVMPD Officers Before They Return Fire [OOrPCXr0urU]_SPEAKER_00_clip8.wav,Non Violent
Bodycam Captures Suspect Shooting At LVMPD Officers Before They Return Fire [OOrPCXr0urU]_SPEAKER_00_clip13.wav,Non Violent
Bodycam Captures Suspect Shooting At LVMPD Officers Before They Return Fire [OOrPCXr0urU]_SPEAKER_00_clip14.wav,Non Violent
Bodycam Captures Suspect Shooting At LVMPD Officers Before They Return Fire [OOrPCXr0urU]_SPEAKER_00_clip19.wav,Non Violent
Bodycam Captures Suspect Shooting At LVMPD Officers Before They Return Fire [OOrPCXr0urU]_SPEAKER_01_clip11.wav,Non Violent
Bodycam Captures Suspect Shooting At LVMPD Officers Before They Return Fire [OOrPCXr0urU]_SPEAKER_01_clip12.wav,Non Violent
Bodycam Captures Suspect Shooting At LVMPD Officers Before They Return Fire [OOrPCXr0urU]_SPEAKER_02_clip1.wav,Non Violent
Bodycam Captures Suspect Shooting At LVMPD Officers Before They Return Fire [OOrPCXr0urU]_SPEAKER_02_clip3.wav,Non Violent
Bodycam Captures Suspect Shooting At LVMPD Officers Before They Return Fire [OOrPCXr0urU]_SPEAKER_02_clip5.wav,Non Violent
Bodycam Captures Suspect Shooting At LVMPD Officers Before They Return Fire [OOrPCXr0urU]_SPEAKER_02_clip9.wav,Non Violent
Bodycam Captures Suspect Shooting At LVMPD Officers Before They Return Fire [OOrPCXr0urU]_SPEAKER_02_clip10.wav,Non Violent
Bodycam Captures Suspect Shooting At LVMPD Officers Before They Return Fire [OOrPCXr0urU]_SPEAKER_03_clip15.wav,Violent
Bodycam Captures Suspect Shooting At LVMPD Officers Before They Return Fire [OOrPCXr0urU]_SPEAKER_03_clip16.wav,Violent
Bodycam Captures Suspect Shooting At LVMPD Officers Before They Return Fire [OOrPCXr0urU]_SPEAKER_03_clip17.wav,Violent
Bodycam Captures Suspect Shooting At LVMPD Officers Before They Return Fire [OOrPCXr0urU]_SPEAKER_03_clip18.wav,Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_00_clip1.wav",Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_00_clip2.wav",Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_00_clip3.wav",Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_00_clip4.wav",Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_00_clip5.wav",Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_00_clip6.wav",Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_00_clip7.wav",Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_00_clip9.wav",Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_00_clip11.wav",Non Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_00_clip12.wav",Non Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_00_clip13.wav",Non Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_00_clip14.wav",Non Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_00_clip15.wav",Non Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_00_clip16.wav",Non Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_00_clip17.wav",Non Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_00_clip26.wav",Non Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_01_clip8.wav",Non Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_01_clip10.wav",Non Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_01_clip18.wav",Non Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_01_clip19.wav",Non Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_01_clip20.wav",Non Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_01_clip21.wav",Non Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_01_clip22.wav",Non Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_01_clip23.wav",Non Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_01_clip24.wav",Non Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_01_clip25.wav",Non Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_01_clip27.wav",Non Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_01_clip28.wav",Non Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_01_clip29.wav",Non Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_01_clip30.wav",Violent
"Bodycam Footage From Police Shootout in Roanoke, Virginia [TYbBgCUgZmU]_SPEAKER_01_clip31.wav",Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_00_clip2.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_00_clip8.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_00_clip9.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_00_clip12.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_00_clip14.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_00_clip16.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_00_clip38.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_00_clip40.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_00_clip41.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_01_clip1.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_01_clip3.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_01_clip4.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_01_clip5.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_01_clip6.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_01_clip7.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_01_clip10.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_01_clip11.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_01_clip13.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_01_clip15.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_01_clip17.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_01_clip18.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_01_clip19.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_01_clip20.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_01_clip21.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_01_clip22.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_01_clip23.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_01_clip24.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_01_clip34.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_01_clip35.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_02_clip36.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_02_clip37.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_02_clip39.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_02_clip42.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_03_clip25.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_03_clip26.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_03_clip27.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_03_clip28.wav,Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_03_clip29.wav,Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_03_clip30.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_03_clip31.wav,Non Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_03_clip32.wav,Violent
Bodycam Footage Of Arizona Officer Shooting Wheelchair Shoplifting Suspect [rngerMY-WS8]_SPEAKER_03_clip33.wav,Violent
"Bodycam Footage of Chaotic Standoff in Albuquerque, New Mexico [6nSQpYYE27k]_SPEAKER_00_clip1.wav",Violent
"Bodycam Footage of Chaotic Standoff in Albuquerque, New Mexico [6nSQpYYE27k]_SPEAKER_00_clip3.wav",Violent
"Bodycam Footage of Chaotic Standoff in Albuquerque, New Mexico [6nSQpYYE27k]_SPEAKER_00_clip5.wav",Violent
"Bodycam Footage of Chaotic Standoff in Albuquerque, New Mexico [6nSQpYYE27k]_SPEAKER_00_clip6.wav",Violent
"Bodycam Footage of Chaotic Standoff in Albuquerque, New Mexico [6nSQpYYE27k]_SPEAKER_00_clip7.wav",Violent
"Bodycam Footage of Chaotic Standoff in Albuquerque, New Mexico [6nSQpYYE27k]_SPEAKER_00_clip8.wav",Violent
"Bodycam Footage of Chaotic Standoff in Albuquerque, New Mexico [6nSQpYYE27k]_SPEAKER_00_clip9.wav",Violent
"Bodycam Footage of Chaotic Standoff in Albuquerque, New Mexico [6nSQpYYE27k]_SPEAKER_00_clip11.wav",Violent
"Bodycam Footage of Chaotic Standoff in Albuquerque, New Mexico [6nSQpYYE27k]_SPEAKER_00_clip13.wav",Violent
"Bodycam Footage of Chaotic Standoff in Albuquerque, New Mexico [6nSQpYYE27k]_SPEAKER_00_clip16.wav",Non Violent
"Bodycam Footage of Chaotic Standoff in Albuquerque, New Mexico [6nSQpYYE27k]_SPEAKER_00_clip17.wav",Non Violent
"Bodycam Footage of Chaotic Standoff in Albuquerque, New Mexico [6nSQpYYE27k]_SPEAKER_00_clip18.wav",Non Violent
"Bodycam Footage of Chaotic Standoff in Albuquerque, New Mexico [6nSQpYYE27k]_SPEAKER_00_clip21.wav",Non Violent
"Bodycam Footage of Chaotic Standoff in Albuquerque, New Mexico [6nSQpYYE27k]_SPEAKER_00_clip22.wav",Violent
